Country Code,Series Code
AFG,NY.GDP.MKTP.KD
AFG,NY.GDP.MKTP.KD.ZG
AFG,NY.GDP.MKTP.KN
AFG,NY.GDP.MKTP.PP.CD
AFG,NY.GDP.MKTP.PP.KD
AFG,NY.GDP.PCAP.CD
AFG,NY.GDP.PCAP.CN
AFG,NY.GDP.PCAP.KD
AFG,NY.GDP.PCAP.KD.ZG
AFG,NY.GDP.PCAP.KN
AFG,NY.GDP.PCAP.PP.CD
AFG,NY.GDP.PCAP.PP.KD
AFG,NY.GDS.TOTL.ZS
AFG,NY.GNP.PCAP.CD
AFG,NY.GNP.PCAP.CN
AFG,NY.GNP.PCAP.KD
AFG,NY.GNP.PCAP.KD.ZG
AFG,NY.GNP.PCAP.KN
AFG,NY.GNP.PCAP.PP.CD
AFG,NY.GNP.PCAP.PP.KD
AFG,NY.GNS.ICTR.ZS
AFG,SE.XPD.PRIM.PC.ZS
AFG,SE.XPD.SECO.PC.ZS
AFG,SE.XPD.TERT.PC.ZS
AFG,SE.XPD.TOTL.GD.ZS
AFG,SH.MMR.RISK
AFG,SH.MMR.RISK.ZS
AFG,SH.XPD.EHEX.PP.CD
AFG,SL.GDP.PCAP.EM.KD
AFG,SL.TLF.ACTI.1524.FE.NE.ZS
AFG,SL.TLF.ACTI.1524.FE.ZS
AFG,SL.TLF.ACTI.1524.MA.NE.ZS
AFG,SL.TLF.ACTI.1524.MA.ZS
AFG,SL.TLF.ACTI.1524.NE.ZS
AFG,SL.TLF.ACTI.1524.ZS
AFG,SL.TLF.ACTI.FE.ZS
AFG,SL.TLF.ACTI.MA.ZS
AFG,SL.TLF.ACTI.ZS
AFG,SL.TLF.ADVN.FE.ZS
AFG,SL.TLF.ADVN.MA.ZS
AFG,SL.TLF.ADVN.ZS
AFG,SL.TLF.BASC.FE.ZS
AFG,SL.TLF.BASC.MA.ZS
AFG,SL.TLF.BASC.ZS
AFG,SL.TLF.CACT.FE.NE.ZS
AFG,SL.TLF.CACT.FE.ZS
AFG,SL.TLF.CACT.FM.NE.ZS
AFG,SL.TLF.CACT.FM.ZS
AFG,SL.TLF.CACT.MA.NE.ZS
AFG,SL.TLF.CACT.MA.ZS
AFG,SL.TLF.CACT.NE.ZS
AFG,SL.TLF.CACT.ZS
AFG,SL.TLF.INTM.FE.ZS
AFG,SL.TLF.INTM.MA.ZS
AFG,SL.TLF.INTM.ZS
AFG,SL.TLF.TOTL.FE.ZS
AFG,SL.TLF.TOTL.IN
AFG,SL.UEM.1524.FE.NE.ZS
AFG,SL.UEM.1524.FE.ZS
AFG,SL.UEM.1524.MA.NE.ZS
AFG,SL.UEM.1524.MA.ZS
AFG,SL.UEM.1524.NE.ZS
AFG,SL.UEM.1524.ZS
AFG,SL.UEM.ADVN.FE.ZS
AFG,SL.UEM.ADVN.MA.ZS
AFG,SL.UEM.ADVN.ZS
AFG,SL.UEM.BASC.FE.ZS
AFG,SL.UEM.BASC.MA.ZS
AFG,SL.UEM.BASC.ZS
AFG,SL.UEM.INTM.FE.ZS
AFG,SL.UEM.INTM.MA.ZS
AFG,SL.UEM.INTM.ZS
AFG,SL.UEM.TOTL.FE.NE.ZS
AFG,SL.UEM.TOTL.FE.ZS
AFG,SL.UEM.TOTL.MA.NE.ZS
AFG,SL.UEM.TOTL.MA.ZS
AFG,SL.UEM.TOTL.NE.ZS
AFG,SL.UEM.TOTL.ZS
AFG,SP.DYN.LE00.FE.IN
AFG,SP.DYN.LE00.IN
AFG,SP.DYN.LE00.MA.IN
AFG,SP.DYN.TFRT.IN
AFW,AG.CON.FERT.ZS
AFW,BM.KLT.DINV.WD.GD.ZS
AFW,BX.KLT.DINV.WD.GD.ZS
AFW,DT.DOD.DSTC.IR.ZS
AFW,DT.DOD.DSTC.XP.ZS
AFW,DT.DOD.DSTC.ZS
AFW,DT.TDS.DECT.EX.ZS
AFW,DT.TDS.DECT.GN.ZS
AFW,EG.ELC.RNEW.ZS
AFW,EG.ELC.RNWX.KH
AFW,EG.ELC.RNWX.ZS
AFW,EG.FEC.RNEW.ZS
AFW,EG.GDP.PUSE.KO.PP
AFW,EG.GDP.PUSE.KO.PP.KD
AFW,EG.USE.COMM.GD.PP.KD
AFW,EG.USE.CRNW.ZS
AFW,EG.USE.ELEC.KH.PC
AFW,EG.USE.PCAP.KG.OE
AFW,EN.CLC.MDAT.ZS
AFW,EN.GHG.CO2.AG.MT.CE.AR5
AFW,EN.GHG.CO2.BU.MT.CE.AR5
AFW,EN.GHG.CO2.FE.MT.CE.AR5
AFW,EN.GHG.CO2.IC.MT.CE.AR5
AFW,EN.GHG.CO2.IP.MT.CE.AR5
AFW,EN.GHG.CO2.LU.DF.MT.CE.AR5
AFW,EN.GHG.CO2.LU.FL.MT.CE.AR5
AFW,EN.GHG.CO2.LU.MT.CE.AR5
AFW,EN.GHG.CO2.LU.OL.MT.CE.AR5
AFW,EN.GHG.CO2.MT.CE.AR5
AFW,EN.GHG.CO2.PC.CE.AR5
AFW,EN.GHG.CO2.PI.MT.CE.AR5
AFW,EN.GHG.CO2.RT.GDP.KD
AFW,EN.GHG.CO2.RT.GDP.PP.KD
AFW,EN.GHG.CO2.TR.MT.CE.AR5
AFW,EN.GHG.CO2.WA.MT.CE.AR5
AFW,EN.GHG.CO2.ZG.AR5
AFW,ER.H2O.INTR.K3
AFW,ER.H2O.INTR.PC
AFW,FI.RES.TOTL.DT.ZS
AFW,FP.CPI.TOTL.ZG
AFW,GC.DOD.TOTL.CN
AFW,GC.DOD.TOTL.GD.ZS
AFW,IT.MLT.MAIN.P2
AFW,IT.NET.BBND.P2
AFW,MS.MIL.TOTL.TF.ZS
AFW,NE.CON.GOVT.ZS
AFW,NE.CON.TOTL.ZS
AFW,NE.DAB.TOTL.ZS
AFW,NE.GDI.FPRV.ZS
AFW,NE.GDI.FTOT.ZS
AFW,NE.GDI.TOTL.ZS
AFW,NY.ADJ.DCO2.CD
AFW,NY.ADJ.DCO2.GN.ZS
AFW,NY.GDP.DEFL.KD.ZG
AFW,NY.GDP.DEFL.KD.ZG.AD
AFW,NY.GDP.FCST.CD
AFW,NY.GDP.FCST.CN
AFW,NY.GDP.FCST.KD
AFW,NY.GDP.FCST.KN
AFW,NY.GDP.FRST.RT.ZS
AFW,NY.GDP.MKTP.CD
AFW,NY.GDP.MKTP.CN
AFW,NY.GDP.MKTP.KD
AFW,NY.GDP.MKTP.KD.ZG
AFW,NY.GDP.MKTP.KN
AFW,NY.GDP.MKTP.PP.CD
AFW,NY.GDP.MKTP.PP.KD
AFW,NY.GDP.PCAP.CD
AFW,NY.GDP.PCAP.CN
AFW,NY.GDP.PCAP.KD
AFW,NY.GDP.PCAP.KD.ZG
AFW,NY.GDP.PCAP.KN
AFW,NY.GDP.PCAP.PP.CD
AFW,NY.GDP.PCAP.PP.KD
AFW,NY.GDS.TOTL.ZS
AFW,NY.GNP.PCAP.CD
AFW,NY.GNP.PCAP.CN
AFW,NY.GNP.PCAP.KD
AFW,NY.GNP.PCAP.KD.ZG
AFW,NY.GNP.PCAP.KN
AFW,NY.GNP.PCAP.PP.CD
AFW,NY.GNP.PCAP.PP.KD
AFW,NY.GNS.ICTR.ZS
AFW,SE.XPD.PRIM.PC.ZS
AFW,SE.XPD.SECO.PC.ZS
AFW,SE.XPD.TERT.PC.ZS
AFW,SE.XPD.TOTL.GD.ZS
AFW,SH.MMR.RISK
AFW,SH.MMR.RISK.ZS
AFW,SH.XPD.EHEX.PP.CD
AFW,SL.GDP.PCAP.EM.KD
AFW,SL.TLF.ACTI.1524.FE.NE.ZS
AFW,SL.TLF.ACTI.1524.FE.ZS
AFW,SL.TLF.ACTI.1524.MA.NE.ZS
AFW,SL.TLF.ACTI.1524.MA.ZS
AFW,SL.TLF.ACTI.1524.NE.ZS
AFW,SL.TLF.ACTI.1524.ZS
AFW,SL.TLF.ACTI.FE.ZS
AFW,SL.TLF.ACTI.MA.ZS
AFW,SL.TLF.ACTI.ZS
AFW,SL.TLF.ADVN.FE.ZS
AFW,SL.TLF.ADVN.MA.ZS
AFW,SL.TLF.ADVN.ZS
AFW,SL.TLF.BASC.FE.ZS
AFW,SL.TLF.BASC.MA.ZS
AFW,SL.TLF.BASC.ZS
AFW,SL.TLF.CACT.FE.NE.ZS
AFW,SL.TLF.CACT.FE.ZS
AFW,SL.TLF.CACT.FM.NE.ZS
AFW,SL.TLF.CACT.FM.ZS
AFW,SL.TLF.CACT.MA.NE.ZS
AFW,SL.TLF.CACT.MA.ZS
AFW,SL.TLF.CACT.NE.ZS
AFW,SL.TLF.CACT.ZS
AFW,SL.TLF.INTM.FE.ZS
AFW,SL.TLF.INTM.MA.ZS
